lang_loading_game    ="လုပ္ေဆာင္ေနသည္"
lang_login_1    ="သင္ဝင္ေရာက္လိုေသာအေကာင့္ကိုေ႐ြးခ်ယ္ပါ"
lang_login_2    ="(သို႔မဟုတ္) ဧည့္သည္အျဖစ္ ဝင္ေရာက္ပါ"
lang_login_register    ="မွတ္ပုံတင္ပါ"
lang_login_name    ="အမည္"
lang_login_pass    ="စကား၀ွက္"
lang_login_3    ="(သို႔မဟုတ္) ၀င္ေရာက္ရန္"
lang_login_pass_confirm    ="စကား၀ွက္ထည့္ပါ"
lang_guess    ="ဧည့္သည္"
lang_social_change_acc    ="အျခားအေကာင့္ျဖင့္ ဝင္ေရာက္ရန္:"
lang_guess_change_acc    ="ဂိမ္းတိုးတက္မႈကို သိမ္းရန္ Facebook နွင့္ခ်ိတ္ၿပီး \n သူငယ္ခ်င္းမ်ားႏွင့္ ခ်ိတ္ဆက္ပါ"
lang_mapping    ="ခ်ိတ္ဆက္"
lang_mapping_success    ="ခ်ိတ္ဆက္ၿပီးပါၿပီ"
lang_other_login    ="အျခားစက္တြင္ အေကာင့္ဝင္ထားသည္။ \nသင္၏ဂိမ္းတိုးတက္မႈကို offline mode ေျပာင္းထားသည္။"
lang_PlayNow    ="ယခုကစားပါ!"
lang_guess_can_not_use_feature    ="သင္သည္ ဧည့္သည္အေကာင့္ျဖင့္ ကစားေနသည္ \n ဤfeatureကို အသုံးျပဳရန္ ယခု အေကာင့္ဝင္ပါ"
lang_ask_override_progress    ="လက္ရွိတိုးတက္မႈမွာ ထပ္ျပင္လိုပါက "OKAY" ဟု႐ိုက္ပါ"
lang_press_okay    =""OKAY" ထည့္ပါ"
lang_override    ="ထပ္ျပင္မည္"
lang_cancel    ="မလုပ္ေတာ့ပါ"
lang_tool_0    ="လက္အိတ္မ်ား"
lang_tool_1    ="တူ"
lang_tool_2    ="ဧရာမတူ"
lang_tool_description_0    ="ေနရာလဲရန္ \n ေဘးခ်င္းကပ္လ်က္ ေက်ာက္မ်က္ႏွစ္ခုကို ေ႐ြးပါ"
lang_tool_description_1    ="တူအသုံးျပဳရန္ေနရာေ႐ြးပါ \n ထိုေနရာတြင္ ေက်ာက္မ်က္ကို ဖ်က္ပါ"
lang_tool_description_2    ="တူအသုံးျပဳရန္ေနရာကို ေ႐ြးခ်ယ္ပါ \n အလ်ားႏွင့္အနံတစ္ခုလံုးဖ်က္ပါ"
ResourceType_2    ="အသည္း"
ResourceType_30    ="မီးပန္း"
ResourceType_31    ="ဒစၥကိုေဘာလုံး"
ResourceType_32    ="ဒုံးပ်ံ"
ResourceType_40    ="တူ"
ResourceType_41    ="ဧရာမတူ"
ResourceType_42    ="လက္အိတ္မ်ား"
lang_buy_resource_des_2    ="အဆင့္ကိုဆက္လက္သိမ္းပိုက္ရန္ <rgb=49,138,0> အသည္း၅ခု </rgb> ခ်က္ခ်င္းျပန္လည္ရယူပါ"
lang_buy_resource_des_30    ="က်ပန္းေနရာမ်ားတြင္ <rgb=49,138,0> ဗံုး၁ခု</rgb> ႏွင့္ <rgb=49,138,0> မီးပန္း၁ခု</rgb> ျဖင့္ အဆင့္စတင္ပါ"
lang_buy_resource_des_31    ="က်ပန္းေနရာတြင္ ထည့္ထားေသာ <rgb=49,138,0> ဒစၥကိုေဘာလုံး၁ခု</rgb> ျဖင့္ အဆင့္ကို စတင္ပါ"
lang_buy_resource_des_32    ="အသက္သြင္းၿပီးေသာအခါ၊ <rgb=49,138,0>ဒုံးပ်ံ</rgb> သည္ ႏွစ္ဆျဖစ္လိမ့္မည္"
lang_buy_resource_des_40    ="<rgb=49,138,0> တူ</rgb> သည္ ေ႐ႊ႕စရာမလိုဘဲ ေက်ာက္မ်က္တစ္ခု (သို႔မဟုတ္) အလႊာတစ္ခုကို ဖ်က္ဆီးႏိုင္သည္"
lang_buy_resource_des_41    ="<rgb=49,138,0>ဧရာမတူ</rgb> သည္ ေ႐ႊ႕စရာမလိုဘဲ ေက်ာက္မ်က္အလ်ားတစ္ခုလုံး (သိုမဟုတ္) အနံတစ္ခုလုံး (သိုမဟုတ္) အလႊာတစ္ခုလုံးကို အလ်ားလိုက္ျဖစ္‌ေစ ေဒါင္လိုက္ျဖစ္‌ေစ ဖ်က္ဆီးႏိုင္သည္"
lang_buy_resource_des_42    ="<rgb=49,138,0>လက္အိတ္မ်ား</rgb> သည္ ေ႐ႊ႕စရာမလိုဘဲ ဘုတ္ေပၚတြင္ ေဘးခ်င္းကပ္ ေက်ာက္မ်က္ ၂ ခုကို ေနရာလဲႏိုင္ပါသည္"
#TUTORIAL    =""
lang_tap_to_continue    ="ဆက္လုပ္ရန္ ႏွိပ္ပါ"
lang_unlock_at_lvl    ="အဆင့္ <rgb=49,138,0> @num@ </rgb> တြင္ ဖြင့္ပါ"
lang_tut_new_player_1    ="ဟယ္လို!!!"
lang_tut_new_player_2    ="ကြ်န္ေတာ္က <rgb=49,138,0>Cheese</rgb>ပါ၊ ဒီအခ်ိန္ကစၿပီး <rgb=49,138,0>ေျမာင္စြန႔္စားခန္း</rgb> ဆီ သင့္ကိုေခၚသြားမယ္"
lang_tut_new_player_3    ="သင္ရဲ ့ခရီးကိုယခုစတင္ရန္ <rgb=49,138,0>ခလုတ္ဘီး</rgb> ကိုႏွိပ္ပါ"
lang_tut_new_booster_1    ="အဆင့္အစတြင္သင္၏အႏိုင္ရႏိုင္ေျခကိုတိုးျမႇင့္ရန္အတြက္ပံ့ပိုးကူညီမႈပစၥည္းမ်ားကိုယူေဆာင္လာရန္ေ႐ြးခ်ယ္ႏိုင္သည္"
lang_tut_new_booster_2    ="ဒီတစ္ခါေတာ့ သင့္ကို အစျပဳပစၥည္း ကြ်န္ေတာ္ေပးမယ္။ အခုပဲ သုံးၾကည့္ပါ"
lang_tut_play_1_1    ="<rgb=49,138,0> အလ်ား</rgb> သို႔မဟုတ္ <rgb=49,138,0> အနံ </rgb> တြင္ အေရာင္တူေသာ <rgb=49,138,0> ေက်ာက္မ်က္၃ခု</rgb> ကို အစဥ္လိုက္ဖန္တီးျပီးစုေဆာင္းပါ"
lang_tut_play_1_2    ="အဆင့္ၿပီးေျမာက္ရန္ <rgb=49,138,0>အစိမ္းေရာင္</rgb> ေက်ာက္မ်က္မ်ားကိုယွဥ္တြဲပါ"
lang_tut_play_2_1    ="<rgb=49,138,0>မီးပန္း</rgb> ဖန္တီးရန္ အေရာင္တူေသာ <rgb=49,138,0> ေက်ာက္မ်က္ ၄ ခု</rgb> ကို တစ္လိုင္းတည္းယွဥ္တြဲပါ"
lang_tut_play_2_2    ="ေကာင္းၿပီ၊ ဘာျဖစ္သြားလဲဆိုတာၾကည့္ဖို႔ <rgb=49,138,0> မီးပန္းမ်ား</rgb> ကို ေနရာလဲၾကည့္ပါ"
lang_tut_play_2_3    ="ေတာ္တယ္၊ အခု ေနာက္ထပ္ <rgb=49,138,0>မီးပန္းမ်ား</rgb> ဖန္တီးၾကစို႔"
lang_tut_play_2_4    ="၂ခ်က္နွိပ္ျခင္းျဖင့္ သင္သည္ <rgb=49,138,0> မီးပန္းမ်ား</rgb> ကို အသက္သြင္းႏိုင္သည္"
lang_tut_play_3_1    ="<rgb=49,138,0>ဒုံးပ်ံ</rgb> ကိုဖန္တီးရန္ အေရာင္တူေသာ <rgb=49,138,0>ေက်ာက္မ်က္၄ခု</rgb> ကို  <rgb=49,138.0> စတုရန္းပုံ</rgb> ႏွင့္ ကိုက္ညီေအာင္ႀကိဳးစားၾကည့္ပါ"
lang_tut_play_3_2    ="ေကာင္းၿပီ၊ ဘာျဖစ္သြားလဲဆိုတာၾကည့္ဖို႔ <rgb=49,138,0> ဒံုးပ်ံမ်ား</rgb> ကို ေနရာလဲၾကည့္ပါ"
lang_tut_play_3_3    ="အံ့မခန္းပဲ၊ အခု ေနာက္ထပ္ <rgb=49,138,0>ဒံုးပ်ံေတြ</rgb> ကို ဖန္တီးလိုက္ၾကရေအာင္!"
lang_tut_play_4_1    ="<rgb=49,138,0>ဗုံး</rgb> ဖန္တီးရန္ <rgb=49,138,0> “T” ပုံစံ</rgb>နွင့္  အေရာင္တူေသာ <rgb = 49,138,0>  ေက်ာက္မ်က္ရတနာ ၅ ခု </rgb> ကို  <rgb=49,138,0> “T” ပုံစံ</rgb> ယွဥ္တြဲပါ "
lang_tut_play_4_2    ="ေကာင္းၿပီ၊ ဘာျဖစ္သြားလဲဆိုတာၾကည့္ဖို႔ <rgb=49,138,0> ဗံုးမ်ား</rgb> ကို ေနရာလဲၾကည့္ပါ"
lang_tut_play_4_3    ="အံ့မခန္းပဲ၊ ယခု <rgb=49,138,0>“L” ပုံစံ</rgb> အျဖစ္ ေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲျခင္းျဖင့္ <rgb=49,138,0>ဗုံးမ်ား</rgb>ကို ဖန္တီးၾကစို ့"
lang_tut_play_5_1    ="<rgb=49,138,0> တူညီေသာလိုင္းထဲတြင္ ေရာင္စုံေက်ာက္မ်က္၅ခု</rgb> ကို ယွဥ္တြဲပါက <rgb=49,138,0> ဒစၥကိုေဘာလုံး</rgb> ကို ဖန္တီးပါမည္"
lang_tut_play_5_2    ="အံ့မခန္းပဲ၊ ယခု မည္သည့္အေရာင္ရွိေသာ ေက်ာက္မ်က္ကိုမဆို <rgb=49,138,0> ဒစၥကိုေဘာလုံး</rgb> ႏွင့္ေနရာလဲျပီး ထိုေက်ာက္မ်က္၏ ပံုစံတူအားလုံးကို စုေဆာင္းပါ"
lang_tut_play_6    ="<rgb=49,138,0> အထူး</rgb> ေက်ာက္မ်က္မ်ား အခ်င္းခ်င္း ေပါင္းစပ္ျပီး ၎တို႔၏ စြမ္းအားမ်ားကို ျမႇင့္တင္နိုင္သည္"
lang_tut_play_7_1    ="ေပါင္းစပ္စြမ္းအားတစ္ခုဖန္တီးရန္ <rgb=49,138,0> မီးပန္းႏွင့္ ဗုံး</rgb> ကို ေနရာလဲၾကည့္ပါ"
lang_tut_play_8    ="<rgb=49,138,0> သစ္သားပံုးမ်ား</rgb>ကိုဖ်က္ဆီးရန္ ၎တို့ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲပါ"
lang_tut_play_7_2    ="သတိထားပါ၊ <rgb=49,138,0>ကင္းေကာင္</rgb> က သင့္ကိုတိုက္ခိုက္ဖို႔ သစ္သားပံုးေတြကို ပစ္လိမ့္မယ္။ သူ႔ကိုရပ္တန႔္ရန္ <rgb=49,138,0>ကင္းေကာင္</rgb> ေဘးရွိ ေက်ာက္မ်က္ရတနာမ်ားကို ယွဥ္တြဲပါ"
lang_tut_play_10    ="အိုး... <rgb=49,138,0> ကိရိယာမ်ား</rgb> ကို ေလာ့ခ္ဖြင့္ထားပါသည္။ သူတို႔ ဘာလုပ္ႏိုင္လဲ ၾကည့္ရေအာင္!"
lang_tut_play_11_1    ="<rgb=49,138,0>လက္အိတ္္မ်ား</rgb> သည္ ဘုတ္ေပၚရွိ ေဘးခ်င္းကပ္ မည္သည့္ေက်ာက္မ်က္၂ခုကိုမဆိုလဲလွယ္ႏိုင္ပါသည္"
lang_tut_play_11_2    ="<rgb=49,138,0> ဗုံးႏွင့္ မီးပန္း</rgb> ေပါင္းစပ္စြမ္းအားကို ဖန္တီးရန္ <rgb=49,138,0> လက္အိတ္မ်ားကို</rgb>  သုံးျပီး ေက်ာက္မ်က္မ်ားကို ေနရာလဲပါ"
lang_tut_play_11_3    ="<rgb=49,138,0>ျမက္ခင္းကြက္မ်ား</rgb> ေပၚရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားကိုယွဥ္တြဲျပီး ဖ်က္ဆီးပါ"
lang_tut_play_12    ="<rgb=49,138,0> တူ</rgb> သည္ ဘုတ္ေပၚရွိ ေက်ာက္မ်က္အလႊာတစ္ခုကို ဖ်က္ဆီးႏိုင္ၿပီး အသုံးျပဳရန္ <rgb=49,138,0> တူ</rgb> ကိုႏွိပ္ပါ"
lang_tut_play_14_1    ="<rgb=49,138,0> ဧရာမတူ</rgb> သည္ ဘုတ္ေပၚရွိ ေက်ာက္မ်က္လိုင္းတစ္ခုလုံးကို ဖ်က္ဆီးႏိုင္ၿပီး အသုံးျပဳရန္ <rgb=49,138,0> ဧရာမတူ</rgb> ကို ေ႐ြးခ်ယ္ပါ။"
lang_tut_play_16_1    ="<rgb=49,138,0>ႏြယ္ပင္မ်ား</rgb> ျဖင့္ေသာ့ခတ္ထားေသာ ေက်ာက္မ်က္မ်ားကိုဖ်က္ဆီးရန္ အနီးတစ္ဝိုက္ရွိ အေရာင္တူေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲပါ"
lang_tut_play_21    ="စားပြဲေအာက္ေျခသို ့ <rgb=49,138,0>ဒိုးနပ္</rgb>ကို ယူေဆာင္လာျပီး စုေဆာင္းပါ"
lang_tut_play_26    ="<rgb=49,138,0>နြားနို ့ဗူးမ်ား</rgb> ကိုဖ်က္ဆီးရန္ ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲပါ"
lang_tut_play_31    ="<rgb=49,138,0>တိမ္တိုက္မ်ား</rgb> သည္ ၎တို႔ကိုယ္တိုင္ ပြားႏိုင္ပါသည္။ <rgb=49,138,0>တိမ္တိုက္မ်ား</rgb> ကိုရွင္းလင္းရန္ ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားကို ယွဥ္ပါ"
lang_tut_play_37    ="<rgb=49,138,0>ေရခဲငါး</rgb> သည္ ေရာင္စုံေက်ာက္မ်က္မ်ားျဖင့္ ေနရာလဲလွယ္ႏိုင္ၿပီး ၎တို႔ပတ္ဝန္းက်င္ရွိ ေက်ာက္မ်က္မ်ားႏွင့္ ကိုက္ညီေသာအခါ ပ်က္စီးသြားႏိုင္သည္"
lang_tut_play_43    ="<rgb=49,138,0> ေက်ာက္တံုးမ်ား</rgb>ကို ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲျပီး ဖ်က္ဆီးပါ"
lang_tut_play_51    ="<rgb=49,138,0>မိုးပ်ံပူေဖာင္းမ်ား</rgb> သည္ ပ်ံသန္းရန္အတြက္ အျပည့္အဝေဖာင္းေနရန္ လိုအပ္သည္။ <rgb=49,138,0> ေလဘားကိုျဖည့္ပါ</rgb>"
lang_tut_play_58_1    ="<rgb=49,138,0>ပန႔္</rgb>သို႔ <rgb=49,138,0>သက္ေရာက္မႈ</rgb>အမ်ားအျပားျပဳလုပ္ျပီး မိုးပ်ံပူေဖာင္း၏ ပ်ံသန္းမႈႏႈန္းကို တိုးျမႇင့္ပါ"
lang_tut_play_58_2    ="အထူးေက်ာက္မ်က္မ်ားရရွိရန္ <rgb=49,138,0>သူခိုး၀ီဆယ္</rgb> ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားႏွင့္ ယွဥ္တြဲပါ"
lang_tut_play_64    ="<rgb=49,138,0> မီးပြိဳင့္မ်ား</rgb> ကို အေရာင္ ၃ မ်ိဳးျဖင့္ ေလ့လာၾကည့္ၾကစို ့!"
lang_tut_play_73_1    ="<rgb=49,138,0> မီးပြိဳင့္မ်ား</rgb> ကို <rgb=49,138,0>၎ကဲ့သို႔ အေရာင္တူေသာေရာင္စုံေက်ာက္မ်က္မ်ား</rgb> ႏွင့္ ယွဥ္တြဲျခင္းျဖင့္ရရွိႏိုင္ပါသည္"
lang_tut_play_73_2    ="<rgb=49,138,0>ေလအားလွ်ပ္စစ္ကား</rgb>ကို အသက္သြင္းရန္  ၎ကဲ့သို႔ အေရာင္တူေက်ာက္မ်က္မ်ားကို စုေဆာင္းပါ"
lang_tut_play_102_1    ="ကားေပၚရွိ နံပါတ္သည္ ကားကို လည္ပတ္ရန္ စုေဆာင္းရမည့္ ေက်ာက္မ်က္ အေရအတြက္ ျဖစ္သည္"
lang_tut_play_102_2    ="<rgb = 49,138,0> တိမ္တိုက္ဗုံး</rgb> တြင္ အေရာင္တူေက်ာက္မ်က္မ်ားနွင့္ ေနာက္ျပန္ေရတြက္စက္ရွိသည္"
lang_tut_play_127_1    ="ဗုံးကြဲျခင္းမွကာကြယ္ရန္ <rgb=49,138,0>တိမ္တိုက္ဗုံး</rgb> ကို <rgb=49,138,0>အေရာင္တူေသာေက်ာက္မ်က္မ်ား</rgb> ႏွင့္ ယွဥ္တြဲပါ"
lang_tut_play_127_2    ="သတိထားပါ၊ ေရတြက္စက္ <rgb=49,138,0> သုည သို႔ေရာက္ေသာအခါ <rgb=49,138,0>တိမ္တိုက္ဗံုး</rgb> ေပါက္ကြဲပါမည္"
lang_tut_play_127_3    ="<rgb=49,138,0>ျကြက္ဓားျပ</rgb> သည္ ႀကိဳးတစ္ေခ်ာင္းကို ပစ္မည္ျဖစ္ၿပီး ေအာက္ရွိ ေက်ာက္မ်က္မ်ားအားလုံးကို <rgb=49,138,0> ေသာ့ခတ္</rgb>ပါမည္"
lang_tut_play_151_1    ="အဆင့္ရွင္းလင္းရန္ <rgb=49,138,0> ျကြက္ဓားျပ</rgb> အမ်ားအျပားကို ၎တို႔ေဘးရွိ ေက်ာက္မ်က္မ်ားႏွင့္ယွဥ္တြဲျပီး တတ္ႏိုင္သေလာက္ ဖမ္းပါ"
lang_tut_play_151_2    ="<rgb=49,138,0> စၾကၤာမ်ား</rgb> ေဘးရွိ မတူညီေသာအေရာင္မ်ားနွင့္ လုံေလာက္ေသာေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲျပီး စုေဆာင္းပါ"
lang_tut_play_176    ="<rgb=49,138,0>လက္ဆြဲေသတၱာ</rgb> ကို အထူးေက်ာက္မ်က္မ်ားျဖစ္ေသာ<rgb=49,138,0>ဗုံး၊ ဒုံးပ်ံ၊ မီးပန္း </rgb>မ်ားျဖင့္ ထိခိုက္နိုင္သည္"
lang_tut_play_199    ="<rgb=49,138,0> ပုလဲ</rgb> တြင္ အေျခအေန၂ ခု ရွိသည္: အဖြင့္ႏွင့္ အပိတ္။ <rgb=49,138,0>ပုလဲမ်ား</rgb> ၏ခြံမ်ားကိုဖြင့္ရန္ အထူးေက်ာက္မ်က္မ်ားကိုသုံးပါ"
lang_tut_play_239_1    ="အကယ္၍ ေနာက္လွုပ္ရွားမွုတြင္ <rgb=49,138,0> ပုလဲမထိခိုက္</rgb>ပါက<rgb=49,138,0>ပုလဲ</rgb> သည္ ၎၏အခြံမ်ားကိုပိတ္သြားလိမ့္မည္<rgb=49,138,0> </rgb>"
lang_tut_play_239_2    ="<rgb=49,138,0>ေသတၱာမ်ား</rgb> ကိုဖြင့္ရန္ လိုအပ္ေသာ <rgb=49,138,0>ေသာ့မ်ား</rgb> အလုံအေလာက္စုေဆာင္းပါ"
lang_tut_play_279    ="<rgb=49,138,0>ပူေဖာင္းမ်ား</rgb> ဖန္တီးရန္ <rgb=49,138,0>ဆပ္ျပာပုလင္းမ်ား</rgb>ေဘးရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားႏွင့္ယွဥ္တြဲပါ"
lang_tut_play_329    ="ေလာ့ခ္ဖြင့္ရန္အတြက္ <rgb=49,138,0> ေဘးကင္းေသာ</rgb> ေသာ့မ်ားေပၚရွိအေရာင္ႏွင့္ကိုက္ညီေသာေက်ာက္မ်က္မ်ားကိုစုေဆာင္းပါ"
lang_tut_play_379    ="ႀကိဳးကိုျဖတ္ရန္ <rgb=49,138,0> မီးပုံးပ်ံ</rgb> ေအာက္ရွိ ေရာင္စုံေက်ာက္မ်က္မ်ားႏွင့္ယွဥ္တြဲပါ"
lang_tut_play_433    ="<rgb=49,138,0>ခ်ဳံပုတ္</rgb> ႏွင့္ကပ္လ်က္ ေရာင္စုံေက်ာက္မ်က္မ်ားကို ယွဥ္တြဲျပီး ဖ်က္ဆီးပါ"
lang_tut_play_484    =""
#SHOP    =""
lang_shop_tile    ="ေျမာင့္ေစ်းဆုိင္"
lang_tab_g    ="G ၀ယ္ရန္"
lang_tab_gold    ="ေရႊလဲလွယ္ရန္"
ALERT_BUY_GOLD    ="@Name@ကိုေျပာင္းရန္ @Num@G ကိုသုံးပါ?"
ALERT_BUY_GOLD_CONFIRM    ="ေျပာင္းပါ"
lang_sms_purchase    ="မက္ေဆ့ခ္်မွတဆင့္ေ႐ႊျဖည့္ပါ"
notice_try_purchase_again    ="ေငြေပးေခ်မႈ အမွားအယြင္း၊ ေက်းဇူးျပဳ၍ ထပ္စမ္းၾကည့္ပါ!"
notice_processing    ="ေငြျဖည့္ကတ္အခ်က္အလက္ကို လုပ္ေဆာင္ေနပါသည္၊ ေက်းဇူးျပဳ၍ ေစာင့္ပါ"
notice_wait_to_request    ="ေနာက္ေတာင္းဆိုခ်က္တစ္ခုျပဳလုပ္ရန္ @num@ @time@ ကိုေစာင့္ပါ"
notice_purchase_error    ="ေငြျဖည့္ကတ္အခ်က္အလက္ မမွန္ပါ၊ ေက်းဇူးျပဳ၍ ျပန္လည္စစ္ေဆးပါ!"
notice_need_code    ="ကတ္ကုဒ္ မထည့္ပါ!"
notice_need_seri    ="ကတ္အမွတ္စဥ္နံပါတ္ မထည့္ပါ!"
notice_purchase_already_use    ="ကတ္ကို အသုံးျပဳၿပီးျဖစ္သည္!"
lang_select_carrier    ="စာတိုေပးပို႔ရန္သင္အသုံးျပဳသည့္ဝန္ေဆာင္မႈကိုေ႐ြးပါ:"
lang_send_sms    ="ေက်းဇူးျပဳ၍ ေငြျဖည့္ရန္အတြက္ေအာက္ပါစာလုံးကိုမက္ေဆ့ခ္်ပို႔ပါ:"
lang_shop_text_sms    ="ေရးဖြဲ႕ပါ"
lang_shop_send_sms    ="ေပးပို ့သည္"
lang_copy_sms_code    ="စာလံုးကူးယူသည္"
notice_try_purchase_sms_again    ="မက္ေဆ့ဂ်္အေၾကာင္းအရာကို ျပန္လည္ရယူရာတြင္ အမွားအယြင္းရွိေနသည္၊ ေက်းဇူးျပဳ၍ ထပ္ႀကိဳးစားပါ"
sms_content_info    ="<color = GREEN>“@sms@”</color>  ကို <color = YELLOW> ေရးျပီး </color> <color = GREEN>@service_number@</color> သို ့<color = YELLOW> ေပးပို ့ပါ </color>"
lang_money_pay    ="ျပန္လည္၀ယ္ယူသည္"
lang_method_not_support    ="ေငြေပးေခ်မႈနည္းလမ္းကို အသံုးမျပဳနိုင္ပါ"
lang_charge    ="ကတ္ေငြျဖည့္ျခင္း :"
lang_select_pay_method    ="ေငြျဖည့္သြင္းလိုေသာနည္းလမ္းကို ေ႐ြးခ်ယ္ပါ!"
lang_des_purchase_gift_pack    ="@gift_pack@ ဝယ္ရန္ @money@ ႏွင့္အထက္ေငြျဖည့္ပါ။"
lang_giao_dich    ="ေငြလႊဲမႈ- @value@ VND = @valueGet@"
lang_number    ="ကတ္ကုဒ္:"
lang_seri    ="နံပါတ္စဥ္:"
lang_des_purchase    ="100VND = 1G"
lang_charge_zing    ="ကတ္ျဖင့္ ေငြျဖည့္ပါ"
lang_zingcard_code    ="ကတ္ကုဒ္ (ခဲျခစ္ေနရာ)"
lang_zingcard_seri    ="နံပါတ္စဥ္"
lang_store_zing_card    ="Zing Card ကုိဘယ္မွာဝယ္ရမလဲ။"
lang_pack_zing_card    ="ဝယ္ရန္"
lang_doi_bang_g    ="Gျဖင့္လဲလွယ္သည္"
atm_error    ="ေငြေပးေခ်လို့မရပါ သုိ့မဟုတ္ ျပဳျပင္ထိန္းသိမ္းေနသည္ \n (Error @value@)"
lang_zingcard    ="Zing Card"
lang_atm_bank    ="ATM ျဖင့္ဝယ္ယူသည္"
lang_chose_bank    ="သင္ဝယ္ယူလုိေသာ ဘဏ္ကုိေရြးပါ"
lang_carrier_not_support    ="@carrier@ ဆင္းကတ္ မရပါ"
lang_carrier_not_support_price    ="@carrier@ ဆင္းကတ္သည္ @price@ ဖိုးအတြက္မရပါ"
lang_using    ="အသံုးျပဳေနသည္"
lang_select_price    ="ေငြျဖည့္ကတ္တန္ဖုိးေရြးပါ"
lang_bcode_maintaining    ="@bank@နွင့္ေပးေခ်မွုကုိ ျပဳျပင္ထိန္းသိမ္းေနပါသည္"
lang_shop_channel_0    ="IAP"
lang_shop_channel_1    ="SMS"
lang_shop_channel_2    ="Zing Card"
lang_shop_channel_3    ="ATM"
lang_shop_channel_4    ="ZaloPay"
lang_shop_g_atm_pack_0    ="ထြက္ခြာျခင္း အထုပ္"
