lang_loading_game    ="กำลังโหลด"
lang_tut_play_73_1    ="มาสำรวจ <rgb = 49,138,0> สัญญาณไฟจราจร </rgb> ใน 3 สีที่แตกต่างกัน!"
lang_tut_play_73_2    ="<rgb = 49,138,0> สัญญาณไฟจราจร </rgb> สามารถรับได้โดยการจับคู่อัญมณีสี <rgb = 49,138,0> ที่มีสีเดียวกับแสง </rgb>"
lang_tut_play_102_1    ="รวบรวมอัญมณีที่มีสีเดียวกับ <rgb = 49,138,0> รถไขลาน </rgb> เพื่อเปิดใช้งาน"
lang_tut_play_102_2    ="ตัวเลขบนรถคือจำนวนอัญมณีที่ต้องเก็บเพื่อเรียกใช้รถ"
lang_tut_play_127_1    ="<rgb = 49,138,0> เมฆระเบิด </rgb> มีสีเดียวกับอัญมณีและมีตัวนับนับถอยหลัง"
lang_tut_play_127_2    ="จับคู่ <rgb = 49,138,0>เมฆระเบิด </rgb> กับ <rgb = 49,138,0> อัญมณีที่มีสีเดียวกัน </rgb> เพื่อป้องกันไม่ให้มันระเบิด"
lang_tut_play_127_3    ="ระวัง <rgb = 49,138,0> เมฆระเบิด </rgb> จะระเบิดเมื่อตัวนับที่ <rgb = 49,138,0> ถึง 0 </rgb>"
lang_tut_play_151_1    ="<rgb = 49,138,0> หนูโจรสลัด </rgb> จะโยนเชือกและ <rgb = 49,138,0> ล็อค </rgb> อัญมณีทั้งหมดด้านล่าง"
lang_tut_play_151_2    ="จับ <rgb = 49,138,0> หนูโจรสลัด </rgb> ให้ได้มากที่สุดเพื่อเคลียร์ด่านโดยจับคู่อัญมณีข้างๆ พวกมัน!"
lang_tut_play_176    ="จับคู่อัญมณีหลากสีข้าง <rgb = 49,138,0>ตะไล </rgb> ให้เพียงพอเพื่อรวบรวม"
lang_tut_play_199    ="<rgb = 49,138,0> กระเป๋าเดินทาง </rgb> สามารถได้รับแรงกระแทกจากอัญมณีพิเศษเท่านั้น: <rgb = 49,138,0> ระเบิด,จรวด,ดอกไม้ไฟ </rgb>"
lang_tut_play_239_1    ="-<rgb = 49,138,0> ไข่มุก </rgb> มี 2 สถานะ: เปิดและปิด ใช้อัญมณีพิเศษเพื่อทำให้ <rgb = 49,138,0> ไข่มุก </rgb> เปิดเปลือกออก"
lang_tut_play_239_2    ="<rgb = 49,138,0> ไข่มุก</rgb> จะปิดเปลือกหอย <rgb = 49,138,0> </rgb> หาก <rgb = 49,138,0> ไม่ได้รับแรงกระแทก </rgb> ในการย้ายครั้งต่อไป"
lang_tut_play_279    ="รวบรวมจำนวน <rgb = 49,138,0> กุญแจ </rgb> ที่จำเป็นในการเปิด <rgb = 49,138,0> หีบ </rgb> ให้เพียงพอ"
lang_tut_play_329    ="จับคู่อัญมณีสีข้าง <rgb = 49,138,0> ขวดสบู่ </rgb> เพื่อสร้าง <rgb = 49,138,0> ฟองสบู่ </rgb>"
lang_tut_play_379    ="รวบรวมอัญมณีที่ตรงกับสีบนกุญแจของ <rgb = 49,138,0> เซฟ </rgb> เพื่อปลดล็อก"
lang_tut_play_433    ="จับคู่กับอัญมณีสีใต้ <rgb = 49,138,0> ลูกโป่ง </rgb> ผูกเชือกเพื่อตัดมัน"
lang_tut_play_484    ="จับคู่กับอัญมณีสีที่อยู่ติดกับ <rgb = 49,138,0> พุ่มไม้ </rgb> เพื่อทำลายมัน"
#SHOP    =""
lang_shop_tile    ="ร้าน เหมียว"
lang_tab_g    ="เติม G"
lang_tab_gold    ="แลกทอง"
ALERT_BUY_GOLD    ="ใช้ @Num@G เพื่อเปลี่ยน @Name@?"
ALERT_BUY_GOLD_CONFIRM    ="เปลี่ยน"
lang_sms_purchase    ="เติมทองทางข้อความ"
notice_try_purchase_again    ="เกิดข้อผิดพลาดในการชำระเงิน โปรดลองอีกครั้ง"
notice_processing    ="ข้อมูลบัตรเติมเงินกำลังดำเนินการ กรุณารอสักครู่!"
notice_wait_to_request    ="กรุณารอ @num@ @time@ เพื่อทำการร้องขอต่อไป"
notice_purchase_error    ="ข้อมูลบัตรเติมเงินไม่ถูกต้อง กรุณาตรวจสอบใหม่!"
notice_need_code    ="ไม่ได้ใส่รหัสบัตร!"
notice_need_seri    ="ไม่ได้ใส่เลขซีเรียลของบัตร!"
notice_purchase_already_use    ="บัตรถูกใช้ไปแล้ว!"
lang_select_carrier    ="เลือกเครือข่ายสำหรับการส่งข้อความ:"
lang_send_sms    ="โปรดส่งข้อความต่อไปนี้เพื่อเติมเงิน:"
lang_shop_text_sms    ="เขียน"
lang_shop_send_sms    ="ส่ง"
lang_copy_sms_code    ="คัดลอก"
notice_try_purchase_sms_again    ="เกิดข้อผิดพลาดในการเรียกเนื้อหาข้อความ โปรดลองอีกครั้ง!"
sms_content_info    ="<color = YELLOW> ดังนั้น?n </color> <color = GREEN>“@sms@”</color> <color = YELLOW> g? </color> <color = GREEN>@service_number@</color>"
lang_money_pay    ="เติมเงินสำเร็จ"
lang_method_not_support    ="วิธีการชำระเงินไม่รองรับ!"
lang_charge    ="บัตรเติมเงิน:"
lang_select_pay_method    ="เลือกวิธีเติมเงิน!"
lang_des_purchase_gift_pack    ="เติมเงิน @money@ ขึ้นไปเพื่อซื้อ @gift_pack@"
lang_giao_dich    ="ธุรกรรม: @value@ บาท = @valueGet@"
lang_number    ="รหัสบัตร:"
lang_seri    ="เลขซีเรียล:"
lang_des_purchase    ="100VND = 1G"
lang_charge_zing    ="เติมเงินด้วยบัตร"
lang_zingcard_code    ="รหัสบัตร (ส่วนขูด)"
lang_zingcard_seri    ="เลขซีเรียล"
lang_store_zing_card    ="ซิงการ์ดซื้อได้ที่ไหน"
lang_pack_zing_card    ="เพื่อจะซื้อ"
lang_doi_bang_g    ="แลกเปลี่ยนเป็น G"
atm_error    ="ไม่รองรับวิธีการชำระเงินหรืออยู่ระหว่างการบำรุงรักษา\n (ข้อผิดพลาด @value@)"
lang_zingcard    ="ซิงการ์ด"
lang_atm_bank    ="เติมเงินด้วย ATM"
lang_chose_bank    ="เลือกธนาคารที่ต้องการเติมเงิน"
lang_carrier_not_support    ="@carrier@ ไม่รองรับซิม!"
lang_carrier_not_support_price    ="@carrier@ ซิมไม่รองรับการชำระเงินสำหรับ @price@"
lang_using    ="กำลังใช้งาน"
lang_select_price    ="เลือกราคาบัตรเติมเงิน"
lang_bcode_maintaining    ="ระบบการชำระเงินด้วย @bank@ อยู่ระหว่างการปรับปรุง!"
lang_shop_channel_0    ="สโตร์"
lang_shop_channel_1    ="ข้อความ"
lang_shop_channel_2    ="ซิงการ์ด"
lang_shop_channel_3    ="เอทีเอ็ม"
lang_shop_channel_4    ="ซาโลเพย์"
lang_shop_g_atm_pack_0    ="แพ็คออกเดินทาง"
lang_shop_g_atm_pack_1    ="แพ็คเที่ยวชม"
lang_shop_g_atm_pack_2    ="แพ็คเดินทาง"
lang_shop_g_atm_pack_3    ="แพ็คค้นหา"
lang_shop_g_atm_pack_4    ="แพ็คผจญภัย"
lang_shop_g_atm_pack_5    ="แพ็คเกจเดินทางไกล"
lang_shop_g_sms_pack_0    ="แพ็คการเรียน"
lang_shop_g_sms_pack_1    ="แพ็คตระเตรียม"
lang_shop_g_sms_pack_2    ="แพ็คสะสม"
lang_shop_g_sms_pack_3    ="แพ็คออกเดินทาง"
lang_shop_g_sms_pack_4    ="แพ็คเที่ยวชม"
lang_shop_g_iap_pack_0    ="แพ็คตระเตรียม"
lang_shop_g_iap_pack_1    ="แพ็คออกเดินทาง"
lang_shop_g_iap_pack_2    ="แพ็คเดินทาง"
lang_shop_g_iap_pack_3    ="แพ็คค้นหา"
lang_shop_g_iap_pack_4    ="แพ็คผจญภัย"
lang_shop_g_iap_pack_5    ="แพ็คเกจเดินทางไกล"
lang_shop_g_iap_pack_6    ="แพ็คก้าวหน้า"
lang_shop_g_zing_pack_0    ="แพ็คการเรียน"
lang_shop_g_zing_pack_1    ="แพ็คตระเตรียม"
lang_shop_g_zing_pack_2    ="แพ็คออกเดินทาง"
lang_shop_g_zing_pack_3    ="แพ็คเที่ยวชม"
lang_shop_g_zing_pack_4    ="แพ็คเดินทาง"
lang_shop_g_zing_pack_5    ="แพ็คผจญภัย"
lang_shop_g_zing_pack_6    ="แพ็คเกจเดินทางไกล"
lang_shop_gold_pack_0    ="แพ็คเหรียญทอง"
lang_shop_gold_pack_1    ="แพ็คทองแท่ง"
lang_shop_gold_pack_2    ="แพ็คถุงทอง"
lang_shop_gold_pack_3    ="แพ็คเหมืองทอง"
lang_shop_gold_pack_4    ="แพ็คกองทอง"
lang_wait_buy_iap    ="โปรดรอเพื่อซื้อเพิ่ม!"
second    ="วินาที"
minute    ="นาที"
hour    ="ชั่วโมง"
lang_error_code    ="รหัสข้อผิดพลาด"
lang_error_general    ="เกิดข้อผิดพลาด @err@! โปรดลองอีกครั้งในภายหลัง"
lang_go_shop_ask    ="เยี่ยมชมร้านค้าเพื่อซื้อเพิ่มเติม!"
lang_go_shop    ="ไปที่ร้าน"
lang_switch_shop_g_ask    ="ซื้อ G เพิ่มเพื่อแลกเป็นทอง!"
lang_buy_now    ="ซื้อเลย"
lang_buy_g    ="ซื้อ G"
lang_buy_gold    ="ซื้อทอง"
lang_buy_booster    ="บูสเตอร์มากขึ้นอีก!"
lang_buy_tool    ="เครื่องมือเพิ่มเติมอีก!"
lang_buy_heart    ="หัวใจมากขึ้น!"
lang_bonus    ="ได้รับเพิ่มเติม:"
# Daily Login    =""
lang_dailylogin_title    ="ของขวัญล็อกอิน!"
lang_dailylogin_today    ="วันนี้"
lang_dailylogin_tmr    ="พรุ่งนี้"
lang_dailylogin_dayX    ="วันที่ X"
lang_dailylogin_day7    ="วันที่ 7 - ของขวัญพิเศษ"
lang_choose_chest_to_open    ="เลือกเปิด 1 หีบ"
lang_touch_to_claim    ="แตะเพื่อรับ"
lang_not_enough_gold    ="ทองไม่พอ"
lang_out_of_gold    ="ทองหมด"
lang_notice_exit_game    ="คุณต้องการออกจากเกมหรือไม่?"
lang_btn_cancel    ="ยกเลิก"
lang_btn_exit_game    ="ออกจากเกม"
lang_confirm_ok    ="ตกลง"
lang_ok    ="ตกลง"
lang_confirm    ="ยืนยัน"
lang_game_name    ="Catventure"
EMAIL_REPORT_SENDTO    ="meoduky.zingplay@gmail.com"
EMAIL_REPORT_TITLE    ="[Zingplay] คำแนะนำ รายงานข้อผิดพลาดสำหรับ แคทเวนเจอร์"
EMAIL_REPORT_DEVICE    ="- อุปกรณ์: @device@ \n"
EMAIL_REPORT_OS_NAME    ="- ระบบปฏิบัติการ: @os_name@ \n"
EMAIL_REPORT_OS_VERSION    ="- เวอร์ชันระบบปฏิบัติการ: @os_version@ \n"
EMAIL_REPORT_GAME_VERSION    ="- เวอร์ชันเกม: @game_version@ \n"
EMAIL_REPORT_USER_ID    ="- UID: @user_id@ \n"
EMAIL_REPORT_OPENING    ="สวัสดี\n [ความคิดเห็นของคุณจะช่วยให้เราปรับปรุงเกมให้ดียิ่งขึ้น]"
noti_ask_mapping    ="เชื่อมโยงบัญชี <rgb = 49,138,0> แขก </rgb> กับ <rgb = 49,138,0> Facebook </rgb> หรือไม่\n (สามารถเชื่อมโยงไปยังบัญชีที่ไม่เคยเล่น แคทเวนเจอร์ มาก่อนเท่านั้น)"
noti_confirm_mapping    ="ยืนยันการเชื่อมโยงบัญชีแขก นี้กับ Facebook?"
noti_mapping_success    ="เชื่อมโยงสำเร็จ!"
noti_mapping_failed    ="การเชื่อมโยงบัญชีล้มเหลว"
MAPPING_BEFORE    ="บัญชีเป้าหมายเชื่อมโยงกับบัญชีอื่นแล้ว!"
MAPPING_NOT_GUEST    ="เฉพาะบัญชีแขกเท่านั้นที่สามารถเชื่อมโยงได้!"
MAPPING_ACCOUNT_EXIST    ="บัญชีเป้าหมายมีความคืบหน้า โปรดใช้บัญชีที่ไม่เคยเล่น แคทเวนเจอร์ มาก่อน"
noti_login_fail    ="เข้าระบบบัญชีไม่ได้"
noti_mapping_login_fail    ="ไม่สามารถยืนยันบัญชีที่เชื่อมโยง"
lang_select_method    ="เลือกวิธีการจ่ายเงิน"
lang_rate_0    ="ประเมินค่า"
lang_rate_1    ="คุณสนุกกับการเล่น แคทเวนเจอร์ หรือไม่?"
lang_rate_3    ="ให้คะแนน <rgb = 212,75,23> 5 ดาว </rgb> บน App Store แล้วรับของขวัญ"
lang_select_to_buy    ="เลือกวิธีการชำระเงิน"
# Ranking    =""
lang_ranking_title    ="ตารางอันดับ"
lang_tab_title_all    ="ตลอดเวลา"
lang_tab_title_week    ="รายสัปดาห์"
lang_tab_friend    ="เพื่อน"
lang_vietnam    ="เวียดนาม"
lang_tab_global    ="โลก"
lang_connect_facebook    ="ลิงก์ Facebook เพื่อบันทึกความคืบหน้าและเชื่อมต่อกับเพื่อน"
lang_switch_facebook    ="เปลี่ยนไปใช้บัญชี Facebook ของคุณเพื่อใช้ตารางอันดับและเชื่อมต่อกับเพื่อนของคุณ"
lang_btn_switch    ="เปลี่ยน"
lang_scroll_top    ="สูงสุด"
lang_scroll_bot    ="ล่าง"
lang_ranking_point    ="ระดับ"
# Win Streak    =""
lang_notify_lose_winstreak    ="ออกจากเกม? \n คุณจะเสียการเพิ่มพลังที่ได้มาทั้งหมด!"
lang_winstreak_name    ="เครื่องประดิษฐ์"
lang_winstreak_intro    ="ในแต่ละระดับที่คุณชนะและไปต่อ คุณจะได้รับรางวัลเพิ่มพลัง"
# Ingame GUI    =""
lang_btn_continue_play    ="เล่นต่อ"
lang_btn_play_now    ="เล่นเลย"
lang_btn_replay    ="เล่นซ้ำ"
lang_btn_quit_game    ="ออกจากเกม"
lang_reward    ="รางวัล"
lang_lose    ="เกือบจะถึงแล้ว!"
lang_choose_booster    ="เลือกบูสเตอร์ด่าน"
lang_gui_quitgame_title    ="ออกจากเกม?"
lang_target    ="เป้าหมาย"
lang_gui_quitgame_des    ="ออกจากเกมตอนนี้เลยไหม\n คุณจะเสียหัวใจนะ"
lang_last_heart_end_game    ="หัวใจสุดท้าย!"
lang_lose_collection_end_game_1    ="คุณจะสูญเสียความคืบหน้าในการสะสมของคุณ!"
lang_lose_winstreak_end_game    ="คุณจะเสียรางวัลเครื่องประดิษฐ์!"
lang_last_heart_end_game_1    ="คุณเข้าสู่หัวใจสุดท้ายของคุณ คุณจะต้องรอ 30 นาทีเพื่อให้หัวใจดวงต่อไปเล่นต่อได้!"
lang_lose_collection_end_game    ="สะสมให้เพียงพอแล้วคุณจะได้รับรางวัล\nอย่าทำหายนะ"
lang_level    ="ระดับ"
lang_hard    ="ยาก"
# Event Collect    =""
